/Users/mitchparker/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-07-05 17:07:55,320 - INFO - Check 630 complete. Total checks: 630
2026-07-05 17:12:55,533 - INFO - Check 640 complete. Total checks: 640
2026-07-05 17:17:55,755 - INFO - Check 650 complete. Total checks: 650
2026-07-05 17:22:55,945 - INFO - Check 660 complete. Total checks: 660
2026-07-05 17:27:56,171 - INFO - Check 670 complete. Total checks: 670
2026-07-05 17:32:56,357 - INFO - Check 680 complete. Total checks: 680
2026-07-05 17:37:56,555 - INFO - Check 690 complete. Total checks: 690
2026-07-05 17:42:56,776 - INFO - Check 700 complete. Total checks: 700
2026-07-05 17:47:56,993 - INFO - Check 710 complete. Total checks: 710
2026-07-05 17:52:57,190 - INFO - Check 720 complete. Total checks: 720
2026-07-05 17:57:57,417 - INFO - Check 730 complete. Total checks: 730
2026-07-05 18:02:57,629 - INFO - Check 740 complete. Total checks: 740
2026-07-05 18:07:57,846 - INFO - Check 750 complete. Total checks: 750
2026-07-05 18:12:58,042 - INFO - Check 760 complete. Total checks: 760
2026-07-05 18:17:58,248 - INFO - Check 770 complete. Total checks: 770
2026-07-05 18:22:58,465 - INFO - Check 780 complete. Total checks: 780
